SubjectID,Gender,Type,General Negative Affect,Fear,Sadness,Guilt,Hostility,Shyness,Fatigue,General Positive Affect,Joviality,Self-Assurance,Attentiveness,Serenity,Surprise
22,Female,Control,10,6,7,6,6,4,8,21,13,11,10,10,3
22,Female,Experimental,10,6,5,6,6,4,8,15,11,8,9,12,3
1,Male,Control,10,6,5,6,6,5,7,28,22,18,9,10,5
1,Male,Experimental,11,7,5,6,6,6,6,29,21,16,12,10,7
2,Male,Control,11,6,6,6,6,5,4,24,22,8,11,10,3
2,Male,Experimental,10,6,5,6,6,7,4,22,24,6,10,12,3
3,Male,Control,11,7,5,6,6,7,4,30,22,18,16,12,3
3,Male,Experimental,10,6,5,6,6,7,4,34,21,18,18,14,3
4,Male,Control,19,13,8,7,15,8,14,35,27,22,16,11,9
4,Male,Experimental,15,10,8,7,11,8,12,34,27,22,14,12,9
5,Male,Control,13,8,5,6,7,14,4,35,30,19,14,14,8
5,Male,Experimental,13,7,5,6,8,12,5,34,34,15,13,13,8
6,Male,Control,10,6,5,6,6,4,4,50,40,30,20,15,11
6,Male,Experimental,10,6,5,6,6,4,9,31,22,26,14,11,3
7,Male,Control,10,6,5,6,6,4,4,32,29,19,14,12,4
7,Male,Experimental,10,6,5,6,6,4,4,23,17,13,14,12,3
8,Male,Control,10,6,5,7,7,4,6,16,22,8,7,10,3
8,Male,Experimental,10,6,8,6,6,5,7,11,11,7,4,8,4
9,Male,Control,11,7,7,6,6,4,4,34,33,20,14,12,7
9,Male,Experimental,11,7,6,6,6,4,4,37,36,19,15,13,5
10,Male,Control,12,6,7,12,10,5,5,25,20,16,10,7,7
10,Male,Experimental,13,8,6,11,8,4,5,33,26,15,10,6,7
11,Male,Control,13,8,7,7,7,5,10,24,16,16,9,8,3
11,Male,Experimental,10,6,6,6,6,5,6,26,21,16,10,7,3
12,Male,Control,13,8,6,8,10,6,9,33,20,16,15,9,10
12,Male,Experimental,13,8,7,8,9,6,7,37,30,21,16,10,8
13,Male,Control,12,8,5,6,6,4,8,35,28,14,17,10,3
13,Male,Experimental,13,8,5,6,7,4,4,36,32,19,17,13,8
14,Male,Control,11,6,5,6,6,7,10,35,31,17,15,8,3
14,Male,Experimental,12,9,6,6,6,7,12,28,26,14,13,9,3
15,Male,Control,13,6,5,6,6,6,6,36,26,20,17,12,7
15,Male,Experimental,13,6,5,6,6,6,4,36,25,21,16,12,8
16,Male,Control,11,8,5,6,6,5,4,32,27,18,15,11,3
16,Male,Experimental,10,6,5,6,6,6,4,30,22,16,15,7,3
17,Male,Control,10,6,5,6,6,4,5,39,30,22,16,15,3
17,Male,Experimental,10,6,5,6,6,4,5,33,33,21,10,15,6
18,Male,Control,10,6,5,6,6,4,4,32,27,18,16,14,3
18,Male,Experimental,12,6,5,6,8,4,4,29,23,17,11,11,3
19,Male,Control,10,6,5,6,6,4,6,40,31,23,18,14,9
19,Male,Experimental,10,6,5,6,6,4,4,40,35,25,16,15,12
20,Male,Control,13,8,7,9,6,7,8,29,20,18,12,7,3
20,Male,Experimental,21,10,7,15,6,7,6,28,23,16,9,6,6
21,Male,Control,18,9,5,11,12,11,9,47,31,21,20,13,9
21,Male,Experimental,16,9,5,11,8,11,9,44,30,23,20,14,6
22,Male,Control,14,8,5,11,6,7,5,34,26,17,14,8,5
22,Male,Experimental,10,6,5,6,6,5,4,35,33,22,14,13,10
